country,abusemail
ae,aecert@aecert.ae
al,contact@cirt.gov.al
am,cert@cert.am
at,cert@cert.at
az,info@cert.gov.az
be,cert@cert.be
bg,cert@govcert.bg
by,support@cert.by
cw,cert@caricert.cw
cy,csirt@ucy.ac.cy
de,certbund@bsi.bund.de
dk,contact@govcert.dk
ee,cert@cert.ee
es,incidencias@cert.inteco.es
fi,cert@ficora.fi
fr,contact@cert.ssi.gouv.fr
gb,csirtuk@cpni.gsi.gov.uk
ge,cert@dea.gov.ge
gr,cert@nis.gr
hr,ncert@cert.hr
hu,cert@cert-hungary.hu
ch,cert@switch.ch
ie,csirt@popcap.com
il,adi@tehila.gov.il
it,cert@posteitaliane.it
kz,team@kz-cert.kz
lt,cert@cert.lt
lu,info@circl.lu
lv,cert@cert.lv
md,info@cert.gov.md
me,kontakt@cirt.me
mt,mtcert.mita@gov.mt
nl,cert@ncsc.nl
no,norcert@cert.no
pl,cert@cert.gov.pl
pt,report@cert.pt
qa,incidents@qcert.org
ro,office@cert-ro.eu
ru,response@cert-gib.ru
se,cert@cert.se
si,cert@cert.si
sk,incident@csirt.gov.sk
tr,trcert@tib.gov.tr
ua,cert@cert.gov.ua
